path,name,extension,size_bytes,created,modified,accessed
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpncommoncrypt.dll,vpncommoncrypt.dll,dll,541616,2025-06-06 15:54:10.000000,2025-06-06 15:54:10.000000,2025-12-21 19:00:05.148667
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpndownloader.exe,vpndownloader.exe,exe,4495280,2025-06-06 15:47:34.000000,2025-06-06 15:47:34.000000,2025-12-15 16:59:28.586696
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnipsec.dll,vpnipsec.dll,dll,674224,2025-06-06 15:53:50.000000,2025-06-06 15:53:50.000000,2025-12-21 19:00:05.205692
C:\Program Files (x86)\Cisco\Cisco Secure Client\Plugins\acdownloader.dll,acdownloader.dll,dll,3919280,2025-06-06 15:48:32.000000,2025-06-06 15:48:32.000000,2025-12-21 19:00:07.857702
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\csc_ui.exe,csc_ui.exe,exe,3094448,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-24 14:44:15.458552
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\cs-cz\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,377624,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.460002
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\de-de\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,388643,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.490109
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\es-es\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,381829,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.521745
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\fr-ca\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,394373,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.552199
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\fr-fr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389876,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.585031
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\hu-hu\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389888,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.616661
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\it-it\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,375312,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.646045
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\ja-jp\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,418368,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.677749
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\ko-kr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,385311,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.695536
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\nl-nl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,373354,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.724503
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\pl-pl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,379095,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.756395
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\pt-br\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,374501,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.802353
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\ru-ru\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,502844,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.819927
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\zh-cn\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336415,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.849335
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\zh-hans\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336417,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.881199
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\zh-hant\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336965,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.913281
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\zh-tw\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336963,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.944730
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\res\cues_bg.jpg,cues_bg.jpg,jpg,399779,2025-06-02 12:11:44.000000,2025-06-02 12:11:44.000000,2025-12-21 19:03:29.312876
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\res\GUI.ico,GUI.ico,ico,431993,2025-06-02 12:11:44.000000,2025-06-02 12:11:44.000000,2025-12-21 19:03:28.836717
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\csc_ui_setup.dll,csc_ui_setup.dll,dll,474544,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:29.215309
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\csc_ui.exe,csc_ui.exe,exe,3094448,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-24 14:44:15.458552
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\cs-cz\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,377624,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.460002
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\de-de\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,388643,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.490109
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\es-es\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,381829,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.521745
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\fr-ca\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,394373,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.552199
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\fr-fr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389876,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.585031
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\hu-hu\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389888,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.616661
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\it-it\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,375312,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.646045
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\ja-jp\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,418368,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.677749
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\ko-kr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,385311,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.695536
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\nl-nl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,373354,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.724503
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\pl-pl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,379095,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.756395
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\pt-br\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,374501,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.802353
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\ru-ru\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,502844,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.819927
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\zh-cn\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336415,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.849335
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\zh-hans\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336417,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.881199
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\zh-hant\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336965,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.913281
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\l10n\zh-tw\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,336963,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.944730
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\res\cues_bg.jpg,cues_bg.jpg,jpg,399779,2025-06-02 12:11:44.000000,2025-06-02 12:11:44.000000,2025-12-21 19:03:29.312876
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\Setup\5.1.10.813\res\GUI.ico,GUI.ico,ico,431993,2025-06-02 12:11:44.000000,2025-06-02 12:11:44.000000,2025-12-21 19:03:28.836717
