access_date,access_count_raw,unique_files,unique_dirs,first_access,last_access,span_minutes,is_bulk_scan,access_count
2025-12-20,86.0,86.0,14.0,2025-12-20 01:33:09,2025-12-20 14:41:19,788.1666666666666,False,86
2025-12-21,24.0,24.0,1.0,2025-12-21 21:48:34,2025-12-21 21:48:34,0.0,False,24
2025-12-22,32.0,32.0,1.0,2025-12-22 21:48:54,2025-12-22 21:49:01,0.11666666666666667,False,32
2025-12-23,24.0,24.0,3.0,2025-12-23 21:49:20,2025-12-23 21:49:31,0.18333333333333332,False,24
2025-12-24,,,,,,,False,0
2025-12-25,,,,,,,False,0
2025-12-26,,,,,,,False,0
2025-12-27,,,,,,,False,0
2025-12-28,2.0,2.0,1.0,2025-12-28 21:21:11,2025-12-28 22:22:11,61.0,False,2
2025-12-29,9.0,9.0,3.0,2025-12-29 20:42:22,2025-12-29 21:30:21,47.983333333333334,False,9
