path,name,extension,size_bytes,created,modified,accessed
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421007\Usages.txt",Usages.txt,txt,3964,2025-11-10 14:49:03.580932,2025-11-10 14:57:03.234739,2025-11-10 14:57:03.234739
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421008\AddOns.txt",AddOns.txt,txt,7160,2025-11-10 14:57:44.337905,2025-11-10 15:00:31.996484,2025-11-10 15:00:31.996484
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421008\Usages.txt",Usages.txt,txt,4960,2025-11-10 15:00:43.110098,2025-11-10 15:03:59.087723,2025-11-10 15:03:59.087723
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421009\AddOns.txt",AddOns.txt,txt,5729,2025-11-10 15:29:06.857452,2025-11-10 15:31:12.355469,2025-11-10 15:31:12.355469
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421009\Usages.txt",Usages.txt,txt,3939,2025-11-10 15:29:10.242991,2025-11-10 15:31:21.435126,2025-11-10 15:31:21.435126
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421010\AddOns.txt",AddOns.txt,txt,5705,2025-11-10 15:32:31.237227,2025-11-10 15:38:23.135313,2025-11-10 15:38:23.135313
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421010\Usages.txt",Usages.txt,txt,3918,2025-11-10 15:32:40.549099,2025-11-10 15:34:50.691999,2025-11-10 15:34:50.691999
"D:\Cornelsen\Assets\dleting addons ans usages, prod isbn 9783464815076\sf150-421023\AddOns.txt",AddOns.txt,txt,7203,2025-11-25 11:02:53.036877,2025-11-25 11:39:47.386077,2025-11-25 11:39:47.386077
"D:\Cornelsen\Assets\dleting addons ans usages, prod isbn 9783464815076\sf150-421023\Usages.txt",Usages.txt,txt,5104,2025-11-25 11:03:01.413556,2025-11-25 11:39:49.821516,2025-11-25 11:39:49.821516
"D:\Cornelsen\Assets\dleting addons ans usages, prod isbn 9783464815076\sf150-421024\AddOns.txt",AddOns.txt,txt,5704,2025-11-25 11:46:26.217342,2025-11-25 11:42:49.158565,2025-11-25 11:47:16.932599
