path,name,extension,size_bytes,created,modified,accessed
C:\FAX\MASTER\Inzenjerstvo zahteva\materijal za odbranu projekta\dijagram poslovnih podataka.png,dijagram poslovnih podataka.png,png,420992,2025-10-20 00:36:54.185422,2025-10-20 00:34:07.995199,2025-11-04 21:14:42.136262
C:\FAX\MASTER\Inzenjerstvo zahteva\materijal za odbranu projekta\inz.zip,inz.zip,zip,2336605,2025-10-23 15:30:40.622594,2025-10-23 15:30:40.743647,2025-10-23 15:30:46.598003
C:\FAX\MASTER\Inzenjerstvo zahteva\materijal za odbranu projekta\model poslovnih  ciljeva.png,model poslovnih  ciljeva.png,png,2171036,2025-10-20 00:40:08.000287,2025-10-19 20:20:16.255951,2025-11-04 21:14:42.024545
C:\FAX\MASTER\Napredni-SWE\WebFlow presentation.pptx,WebFlow presentation.pptx,pptx,402493,2024-12-23 17:54:09.088190,2025-06-02 21:20:05.334144,2025-07-19 14:50:09.024860
C:\FAX\MASTER\Napredni-SWE\assets\WebFlowOfficialSite.png,WebFlowOfficialSite.png,png,369129,2024-12-16 20:52:23.759722,2024-12-16 20:52:24.324163,2025-05-27 07:37:46.090771
C:\FAX\MASTER\Sistemi baze\Obrada transkacija u MongoDB  izmena.pdf,Obrada transkacija u MongoDB  izmena.pdf,pdf,465159,2025-11-30 15:58:59.331254,2025-11-30 15:59:02.674080,2025-11-30 15:59:14.804586
C:\FAX\MASTER\Sistemi baze\Optimizacija upita kod MongoDB (1).pdf,Optimizacija upita kod MongoDB (1).pdf,pdf,1164046,2025-11-02 13:44:26.846533,2025-11-02 13:41:26.560383,2025-11-02 14:10:11.830273
C:\FAX\MASTER\Sistemi baze\Drugi seminarski\Obrada transkacija u MongoDB  izmena.docx,Obrada transkacija u MongoDB  izmena.docx,docx,1029756,2025-11-30 14:20:06.794699,2025-12-05 22:49:32.841107,2025-12-24 18:30:44.295284
C:\FAX\MASTER\Sistemi baze\Prvi seminarski rad- Optimizacija upita\Optimizacija upita u MongoDB.docx,Optimizacija upita u MongoDB.docx,docx,632490,2025-11-02 13:14:43.960979,2025-11-23 15:56:13.139045,2025-12-14 14:24:56.909953
C:\FAX\MASTER\Sistemi baze\Sistemi Baze Projekat\Sistemi Baze Projekat\bin\Debug\net9.0\MongoDB.Bson.dll,MongoDB.Bson.dll,dll,556544,2025-07-11 01:44:36.207200,2025-05-01 20:22:14.000000,2025-07-19 14:32:31.788812
C:\FAX\MASTER\Sistemi baze\Sistemi Baze Projekat\Sistemi Baze Projekat\bin\Debug\net9.0\MongoDB.Driver.dll,MongoDB.Driver.dll,dll,2482176,2025-07-11 01:44:36.207200,2025-05-01 20:22:58.000000,2025-07-19 14:32:31.786803
C:\FAX\MASTER\Sistemi baze\Sistemi Baze Projekat\Sistemi Baze Projekat\bin\Debug\net9.0\SharpCompress.dll,SharpCompress.dll,dll,546304,2025-07-11 01:44:36.207200,2021-11-22 10:21:32.000000,2025-07-19 14:14:51.943377
C:\FAX\MASTER\Sistemi baze\Sistemi Baze Projekat\Sistemi Baze Projekat\bin\Debug\net9.0\Swashbuckle.AspNetCore.SwaggerUI.dll,Swashbuckle.AspNetCore.SwaggerUI.dll,dll,2333184,2025-07-11 01:44:36.212482,2025-06-13 19:14:10.000000,2025-07-19 14:32:31.788812
C:\FAX\MASTER\Sistemi baze\Sistemi Baze Projekat\Sistemi Baze Projekat\bin\Debug\net9.0\ZstdSharp.dll,ZstdSharp.dll,dll,406016,2025-07-11 01:44:36.212482,2023-10-18 18:06:06.000000,2025-07-19 14:14:51.957382
C:\FAX\MASTER\Sistemi baze\Treci seminarski\Distribucija baze kod MongoDB.docx,Distribucija baze kod MongoDB.docx,docx,4399744,2025-12-08 20:41:30.682215,2025-12-18 00:41:49.557398,2025-12-24 22:23:40.897506
